id;name
1;Usaquén
2;Chapinero
3;Santa Fe
4;San Cristóbal
5;Usme
6;Tunjuelito
7;Bosa
8;Kennedy
9;Fontibón
10;Engativá
11;Suba
12;Barrios Unidos
13;Teusaquillo
14;Los Mártires
15;Antonio Nari
16;Puente Aranda
17;La Candelaria
18;Rafael Uribe Uribe
19;Ciudad Bolívar
20;Sumapa
